;Anio;Trimestre;Banda ancha fija;Dial up;Total;id_provincia
0;2022;4;4788466;6199,0;4794665;1
1;2022;4;1549781;2145,0;1551926;2
2;2022;4;70908;1,0;70909;3
3;2022;4;143658;5,0;143663;4
4;2022;4;167855;904,0;168759;5
5;2022;4;1049592;68,0;1049660;7
6;2022;4;155449;4,0;155453;6
7;2022;4;270952;22,0;270974;8
8;2022;4;61840;0,0;61840;9
9;2022;4;118218;0,0;118218;10
10;2022;4;113993;171,0;114164;11
11;2022;4;86258;4,0;86262;12
12;2022;4;291327;777,0;292104;13
13;2022;4;186269;0,0;186269;14
14;2022;4;159712;468,0;160180;15
15;2022;4;161544;548,0;162092;16
16;2022;4;205855;5,0;205860;17
17;2022;4;103545;281,0;103826;18
18;2022;4;135028;192,0;135220;19
19;2022;4;50005;198,0;50203;20
20;2022;4;887581;110,0;887691;21
21;2022;4;119492;2,0;119494;22
22;2022;4;54948;312,0;55260;23
23;2022;4;263392;30,0;263422;24
24;2022;3;4715469;6199,0;4721668;1
25;2022;3;1545534;2145,0;1547679;2
26;2022;3;70292;1,0;70293;3
27;2022;3;144141;5,0;144146;4
28;2022;3;164874;904,0;165778;5
29;2022;3;1038600;68,0;1038668;7
30;2022;3;144842;4,0;144846;6
31;2022;3;268937;22,0;268959;8
32;2022;3;68537;1,0;68538;9
33;2022;3;118823;0,0;118823;10
34;2022;3;115921;171,0;116092;11
35;2022;3;86860;4,0;86864;12
36;2022;3;288746;777,0;289523;13
37;2022;3;182157;0,0;182157;14
38;2022;3;162693;468,0;163161;15
39;2022;3;160010;548,0;160558;16
40;2022;3;204536;5,0;204541;17
41;2022;3;103118;281,0;103399;18
42;2022;3;121888;182,0;122070;19
43;2022;3;49312;198,0;49510;20
44;2022;3;887700;110,0;887810;21
45;2022;3;119030;2,0;119032;22
46;2022;3;53584;312,0;53896;23
47;2022;3;263087;30,0;263117;24
48;2022;2;4660984;6199,0;4667183;1
49;2022;2;1534626;2145,0;1536771;2
50;2022;2;67007;1,0;67008;3
51;2022;2;143559;5,0;143564;4
52;2022;2;161901;904,0;162805;5
53;2022;2;1026367;68,0;1026435;7
54;2022;2;144993;4,0;144997;6
55;2022;2;269330;22,0;269352;8
56;2022;2;67881;0,0;67881;9
57;2022;2;115314;0,0;115314;10
58;2022;2;111356;171,0;111527;11
59;2022;2;86026;4,0;86030;12
60;2022;2;278785;777,0;279562;13
61;2022;2;178813;0,0;178813;14
62;2022;2;161500;468,0;161968;15
63;2022;2;159216;548,0;159764;16
64;2022;2;203172;5,0;203177;17
65;2022;2;100126;281,0;100407;18
66;2022;2;121559;182,0;121741;19
67;2022;2;48987;198,0;49185;20
68;2022;2;878749;110,0;878859;21
69;2022;2;118042;2,0;118044;22
70;2022;2;53458;312,0;53770;23
71;2022;2;254497;30,0;254527;24
72;2022;1;4549131;6293,0;4555424;1
73;2022;1;1415378;2163,0;1417541;2
74;2022;1;62377;1,0;62378;3
75;2022;1;144114;5,0;144119;4
76;2022;1;170701;927,0;171628;5
77;2022;1;1003729;74,0;1003803;7
78;2022;1;142574;4,0;142578;6
79;2022;1;267904;22,0;267926;8
80;2022;1;54548;0,0;54548;9
81;2022;1;116509;0,0;116509;10
82;2022;1;109560;172,0;109732;11
83;2022;1;84299;4,0;84303;12
84;2022;1;274399;786,0;275185;13
85;2022;1;171508;0,0;171508;14
86;2022;1;149208;471,0;149679;15
87;2022;1;156821;553,0;157374;16
88;2022;1;197510;5,0;197515;17
89;2022;1;87888;290,0;88178;18
90;2022;1;119659;185,0;119844;19
91;2022;1;48898;204,0;49102;20
92;2022;1;870364;115,0;870479;21
93;2022;1;116459;2,0;116461;22
94;2022;1;52298;313,0;52611;23
95;2022;1;245554;30,0;245584;24
96;2021;4;4502772;6385,0;4509157;1
97;2021;4;1409935;2184,0;1412119;2
98;2021;4;59089;1,0;59090;3
99;2021;4;143740;5,0;143745;4
100;2021;4;159364;944,0;160308;5
101;2021;4;986693;77,0;986770;7
102;2021;4;135908;4,0;135912;6
103;2021;4;265024;22,0;265046;8
104;2021;4;53663;0,0;53663;9
105;2021;4;113915;0,0;113915;10
106;2021;4;106834;173,0;107007;11
107;2021;4;83124;4,0;83128;12
108;2021;4;266783;804,0;267587;13
109;2021;4;171132;0,0;171132;14
110;2021;4;146989;477,0;147466;15
111;2021;4;153189;564,0;153753;16
112;2021;4;199399;6,0;199405;17
113;2021;4;79667;291,0;79958;18
114;2021;4;118662;187,0;118849;19
115;2021;4;48276;210,0;48486;20
116;2021;4;866265;176,0;866441;21
117;2021;4;115859;2,0;115861;22
118;2021;4;52042;315,0;52357;23
119;2021;4;238609;30,0;238639;24
120;2021;3;4246425;5184,0;4251609;1
121;2021;3;1411797;1608,0;1413405;2
122;2021;3;56253;1,0;56254;3
123;2021;3;139868;3,0;139871;4
124;2021;3;155266;800,0;156066;5
125;2021;3;946726;62,0;946788;7
126;2021;3;133816;3,0;133819;6
127;2021;3;260360;15,0;260375;8
128;2021;3;52795;0,0;52795;9
129;2021;3;111158;0,0;111158;10
130;2021;3;100371;116,0;100487;11
131;2021;3;82157;3,0;82160;12
132;2021;3;255320;619,0;255939;13
133;2021;3;158528;0,0;158528;14
134;2021;3;139436;373,0;139809;15
135;2021;3;144084;501,0;144585;16
136;2021;3;195831;2,0;195833;17
137;2021;3;79227;256,0;79483;18
138;2021;3;117716;148,0;117864;19
139;2021;3;48779;197,0;48976;20
140;2021;3;841433;151,0;841584;21
141;2021;3;115457;1,0;115458;22
142;2021;3;49934;289,0;50223;23
143;2021;3;232447;25,0;232472;24
144;2021;2;4127167;5184,0;4132351;1
145;2021;2;1398747;1608,0;1400355;2
146;2021;2;55743;1,0;55744;3
147;2021;2;140726;3,0;140729;4
148;2021;2;138412;825,0;139237;5
149;2021;2;930818;62,0;930880;7
150;2021;2;129498;3,0;129501;6
151;2021;2;257617;15,0;257632;8
152;2021;2;51551;0,0;51551;9
153;2021;2;111848;0,0;111848;10
154;2021;2;97551;116,0;97667;11
155;2021;2;81599;3,0;81602;12
156;2021;2;229052;619,0;229671;13
157;2021;2;156176;0,0;156176;14
158;2021;2;137877;373,0;138250;15
159;2021;2;143583;501,0;144084;16
160;2021;2;191637;2,0;191639;17
161;2021;2;78677;256,0;78933;18
162;2021;2;122670;148,0;122818;19
163;2021;2;48785;197,0;48982;20
164;2021;2;840449;151,0;840600;21
165;2021;2;114089;1,0;114090;22
166;2021;2;35404;289,0;35693;23
167;2021;2;233026;25,0;233051;24
168;2021;1;4054936;5066,0;4060002;1
169;2021;1;1378283;1390,0;1379673;2
170;2021;1;51967;1,0;51968;3
171;2021;1;139767;3,0;139770;4
172;2021;1;131515;825,0;132340;5
173;2021;1;910826;55,0;910881;7
174;2021;1;126622;3,0;126625;6
175;2021;1;251950;13,0;251963;8
176;2021;1;50686;0,0;50686;9
177;2021;1;110456;0,0;110456;10
178;2021;1;96989;116,0;97105;11
179;2021;1;52625;3,0;52628;12
180;2021;1;218308;615,0;218923;13
181;2021;1;149387;0,0;149387;14
182;2021;1;132862;373,0;133235;15
183;2021;1;140667;501,0;141168;16
184;2021;1;187572;2,0;187574;17
185;2021;1;78011;256,0;78267;18
186;2021;1;119006;148,0;119154;19
187;2021;1;45868;197,0;46065;20
188;2021;1;825990;137,0;826127;21
189;2021;1;111640;1,0;111641;22
190;2021;1;40133;289,0;40422;23
191;2021;1;231890;22,0;231912;24
192;2020;4;4028195;5066,0;4033261;1
193;2020;4;1378140;1390,0;1379530;2
194;2020;4;52395;1,0;52396;3
195;2020;4;139088;3,0;139091;4
196;2020;4;129749;825,0;130574;5
197;2020;4;902646;55,0;902701;7
198;2020;4;125656;3,0;125659;6
199;2020;4;247368;13,0;247381;8
200;2020;4;50206;0,0;50206;9
201;2020;4;105851;0,0;105851;10
202;2020;4;96779;116,0;96895;11
203;2020;4;52775;3,0;52778;12
204;2020;4;214838;615,0;215453;13
205;2020;4;147161;0,0;147161;14
206;2020;4;132762;373,0;133135;15
207;2020;4;140709;501,0;141210;16
208;2020;4;187388;2,0;187390;17
209;2020;4;72340;256,0;72596;18
210;2020;4;119287;148,0;119435;19
211;2020;4;40477;197,0;40674;20
212;2020;4;820676;137,0;820813;21
213;2020;4;106668;1,0;106669;22
214;2020;4;39325;289,0;39614;23
215;2020;4;231067;22,0;231089;24
216;2020;3;3932211;5066,0;3937277;1
217;2020;3;1371285;1390,0;1372675;2
218;2020;3;49903;1,0;49904;3
219;2020;3;133951;3,0;133954;4
220;2020;3;129202;825,0;130027;5
221;2020;3;867417;55,0;867472;7
222;2020;3;123388;3,0;123391;6
223;2020;3;241482;13,0;241495;8
224;2020;3;49209;0,0;49209;9
225;2020;3;106728;0,0;106728;10
226;2020;3;93619;116,0;93735;11
227;2020;3;52613;3,0;52616;12
228;2020;3;207173;615,0;207788;13
229;2020;3;143186;0,0;143186;14
230;2020;3;128862;373,0;129235;15
231;2020;3;130966;501,0;131467;16
232;2020;3;180844;2,0;180846;17
233;2020;3;77071;256,0;77327;18
234;2020;3;116417;148,0;116565;19
235;2020;3;39084;197,0;39281;20
236;2020;3;802861;137,0;802998;21
237;2020;3;105491;1,0;105492;22
238;2020;3;39366;289,0;39655;23
239;2020;3;223854;22,0;223876;24
240;2020;2;3772480;5066,0;3777546;1
241;2020;2;1356431;1390,0;1357821;2
242;2020;2;47975;1,0;47976;3
243;2020;2;128129;3,0;128132;4
244;2020;2;107831;825,0;108656;5
245;2020;2;836413;55,0;836468;7
246;2020;2;118863;3,0;118866;6
247;2020;2;234100;13,0;234113;8
248;2020;2;47932;0,0;47932;9
249;2020;2;94316;0,0;94316;10
250;2020;2;89693;116,0;89809;11
251;2020;2;52152;3,0;52155;12
252;2020;2;200569;615,0;201184;13
253;2020;2;140340;0,0;140340;14
254;2020;2;125799;373,0;126172;15
255;2020;2;128985;501,0;129486;16
256;2020;2;177760;2,0;177762;17
257;2020;2;69521;256,0;69777;18
258;2020;2;113804;148,0;113952;19
259;2020;2;38672;197,0;38869;20
260;2020;2;777795;137,0;777932;21
261;2020;2;105446;1,0;105447;22
262;2020;2;38900;289,0;39189;23
263;2020;2;217134;22,0;217156;24
264;2020;1;3702985;5066,0;3708051;1
265;2020;1;1352104;1390,0;1353494;2
266;2020;1;39634;1,0;39635;3
267;2020;1;120274;3,0;120277;4
268;2020;1;95938;800,0;96738;5
269;2020;1;811044;55,0;811099;7
270;2020;1;113967;3,0;113970;6
271;2020;1;231833;13,0;231846;8
272;2020;1;46434;0,0;46434;9
273;2020;1;91665;0,0;91665;10
274;2020;1;89110;116,0;89226;11
275;2020;1;48337;3,0;48340;12
276;2020;1;182837;615,0;183452;13
277;2020;1;133552;0,0;133552;14
278;2020;1;121354;373,0;121727;15
279;2020;1;125699;501,0;126200;16
280;2020;1;170379;2,0;170381;17
